tile_name,connectivity,total_road_length_m,road_density_m_per_km2,dead_end_ratio,passed,status
Delhi_tile_1182_pred.tif,0.476,11260.0,1718.1,0.238,False,FAILED
Delhi_tile_1181_pred.tif,0.72,11155.2,1702.2,0.2,True,PASSED
Delhi_tile_1183_pred.tif,0.5,7686.5,1172.9,0.5,False,FAILED
Delhi_tile_1184_pred.tif,1.0,6228.7,950.4,0.133,True,PASSED
Delhi_tile_1140_pred.tif,0.45,8807.4,1343.9,0.6,False,FAILED
Delhi_tile_136_pred.tif,1.0,9906.2,1511.6,0.286,True,PASSED
Delhi_tile_1141_pred.tif,0.533,7580.8,1156.7,0.4,False,FAILED
Delhi_tile_703_pred.tif,0.571,1239.3,189.1,0.571,False,FAILED
Delhi_tile_704_pred.tif,0.429,3704.1,565.2,0.357,False,FAILED
Delhi_tile_283_pred.tif,0.29,8127.6,1240.2,0.419,False,FAILED
Delhi_tile_178_pred.tif,0.7,8762.8,1337.1,0.4,False,FAILED
Delhi_tile_326_pred.tif,0.357,7919.0,1208.3,0.357,False,FAILED
Delhi_tile_179_pred.tif,1.0,7037.0,1073.8,0.4,False,FAILED
Delhi_tile_1225_pred.tif,1.0,4676.7,713.6,0.167,True,PASSED
Delhi_tile_368_pred.tif,0.263,5022.2,766.3,0.474,False,FAILED
Delhi_tile_1224_pred.tif,1.0,7031.1,1072.9,0.2,True,PASSED
Delhi_tile_1226_pred.tif,0.5,2006.4,306.2,0.333,False,FAILED
Delhi_tile_325_pred.tif,0.37,7090.0,1081.8,0.481,False,FAILED
Delhi_tile_1139_pred.tif,0.417,4811.7,734.2,0.5,False,FAILED
Delhi_tile_240_pred.tif,0.6,3922.3,598.5,0.333,False,FAILED
Haryana_tile_15199_pred.tif,0.78,17924.4,2735.0,0.268,True,PASSED
Haryana_tile_15378_pred.tif,0.316,14044.1,2143.0,0.263,False,FAILED
Haryana_tile_15379_pred.tif,0.771,16843.1,2570.0,0.286,True,PASSED
Haryana_tile_15291_pred.tif,0.419,15197.2,2318.9,0.465,False,FAILED
Haryana_tile_15382_pred.tif,0.386,13629.0,2079.6,0.386,False,FAILED
Haryana_tile_15474_pred.tif,0.304,7221.3,1101.9,0.391,False,FAILED
Haryana_tile_15472_pred.tif,0.455,5805.1,885.8,0.409,False,FAILED
Haryana_tile_15200_pred.tif,0.308,14319.8,2185.0,0.436,False,FAILED
Haryana_tile_15473_pred.tif,0.524,4497.0,686.2,0.524,False,FAILED
Haryana_tile_15381_pred.tif,0.636,14551.3,2220.4,0.318,False,FAILED
Haryana_tile_15290_pred.tif,0.492,20577.4,3139.9,0.349,False,FAILED
Haryana_tile_15380_pred.tif,0.907,15928.6,2430.5,0.302,True,PASSED
Haryana_tile_15289_pred.tif,0.672,21667.5,3306.2,0.207,False,FAILED
Haryana_tile_15471_pred.tif,0.455,6440.0,982.7,0.273,False,FAILED
Haryana_tile_7834_pred.tif,0.233,11000.7,1678.6,0.333,False,FAILED
Haryana_tile_15470_pred.tif,0.387,8150.3,1243.6,0.258,False,FAILED
Haryana_tile_15110_pred.tif,0.393,11529.0,1759.2,0.464,False,FAILED
Haryana_tile_7832_pred.tif,0.545,12259.7,1870.7,0.242,False,FAILED
Haryana_tile_7830_pred.tif,0.279,11025.7,1682.4,0.326,False,FAILED
Haryana_tile_15201_pred.tif,0.231,14800.3,2258.3,0.436,False,FAILED
